event_id,org_id,admin_email,user_id,event_type,event_date,event_time,session_id,platform,feature_module,duration_sec
EVT-0000001,12f06b90,admin@company001.com,12f06b-U06,report_generated,2025-03-17,10:46:34,SES-612036,web,Integrations,65
EVT-0000002,12f06b90,admin@company001.com,12f06b-U01,dashboard_view,2025-03-17,21:42:03,SES-901467,web,Settings,145
EVT-0000003,12f06b90,admin@company001.com,12f06b-U04,dashboard_view,2025-03-17,19:09:00,SES-329344,mobile_android,Dashboard,66
EVT-0000004,12f06b90,admin@company001.com,12f06b-U08,feature_used,2025-03-17,08:00:34,SES-678440,mobile_android,Analytics,22
EVT-0000005,12f06b90,admin@company001.com,12f06b-U05,api_call,2025-03-17,12:01:32,SES-952657,mobile_android,Reports,114
EVT-0000006,12f06b90,admin@company001.com,12f06b-U02,api_call,2025-03-17,10:15:12,SES-749887,mobile_ios,Dashboard,278
EVT-0000007,12f06b90,admin@company001.com,12f06b-U07,dashboard_view,2025-03-17,13:25:29,SES-692447,web,Users,236
EVT-0000008,12f06b90,admin@company001.com,12f06b-U02,login,2025-03-16,09:25:24,SES-495490,mobile_android,Analytics,14
EVT-0000009,12f06b90,admin@company001.com,12f06b-U03,dashboard_view,2025-03-16,15:54:27,SES-776234,mobile_ios,Integrations,102
EVT-0000010,12f06b90,admin@company001.com,12f06b-U01,export_data,2025-03-16,11:57:55,SES-825916,mobile_android,Dashboard,52
EVT-0000011,12f06b90,admin@company001.com,12f06b-U02,settings_changed,2025-03-16,22:34:36,SES-790077,web,Reports,327
EVT-0000012,12f06b90,admin@company001.com,12f06b-U01,export_data,2025-03-16,17:09:48,SES-960556,mobile_android,Analytics,311
EVT-0000013,12f06b90,admin@company001.com,12f06b-U03,session_start,2025-03-16,11:36:53,SES-990704,mobile_android,Users,558
EVT-0000014,12f06b90,admin@company001.com,12f06b-U06,user_invited,2025-03-16,20:47:08,SES-928897,web,Integrations,359
EVT-0000015,12f06b90,admin@company001.com,12f06b-U01,dashboard_view,2025-03-16,14:14:53,SES-179710,mobile_ios,Integrations,411
EVT-0000016,12f06b90,admin@company001.com,12f06b-U06,login,2025-03-16,18:17:50,SES-572436,mobile_android,Reports,369
EVT-0000017,12f06b90,admin@company001.com,12f06b-U07,user_invited,2025-03-16,10:43:37,SES-792764,mobile_android,Analytics,307
